Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st,Daily.Social.Prop,Daily.Duration.Use
12/24/2023,8h39m,519,2h25m,145,257,9:00,0.2793834297,2.019455253
12/25/2023,6h20m,380,0h47m,47,240,9:45,0.1236842105,1.583333333
12/26/2023,5h21m,321,0h31m,31,150,8:00,0.09657320872,2.14
12/27/2023,4h13m,253,0h32m,32,55,9:00,0.1264822134,4.6
12/28/2023,2h37m,157,1h37m,97,67,9:28,0.6178343949,2.343283582
12/29/2023,2h8m,128,0h44m,44,67,12:40,0.34375,1.910447761
12/30/2023,3h48m,228,0h30m,30,28,8:21,0.1315789474,8.142857143
12/31/2023,2h3m,123,0h51m,51,38,12:43,0.4146341463,3.236842105
1/1/2024,3h24m,204,2h9m,129,24,14:05,0.6323529412,8.5
1/2/2024,4h39m,279,0h36m,36,44,9:45,0.1290322581,6.340909091
1/3/2024,0h57m,57,0h5m,5,44,9:35,0.08771929825,1.295454545
1/4/2024,3h25m,205,0h43m,43,32,8:30,0.2097560976,6.40625
1/5/2024,3h56m,236,0h45m,45,96,10:31,0.1906779661,2.458333333
1/6/2024,6h37m,217,0h38m,38,80,12:24,0.1751152074,2.7125
1/7/2024,11h58m,718,1h12m,72,75,10:48,0.1002785515,9.573333333
1/8/2024,9h15m,555,0h33m,33,50,10:36,0.05945945946,11.1
1/9/2024,9h28m,568,0h11m,11,21,11:23,0.01936619718,27.04761905
1/10/2024,9h24m,564,0h28m,28,39,10:02,0.04964539007,14.46153846
1/11/2024,8h59m,539,1h30m,90,80,8:09,0.1669758813,6.7375
1/12/2024,17h40m,1060,0h8m,8,27,6:02,0.007547169811,39.25925926
1/13/2024,15h52m,952,0h29m,29,54,7:24,0.03046218487,17.62962963
1/14/2024,12h26m,746,0h23m,23,26,11:00,0.0308310992,28.69230769
1/15/2024,6h20m,380,0h38m,38,111,9:00,0.1,3.423423423
1/16/2024,8h13m,493,2h30m,150,118,7:30,0.3042596349,4.177966102
1/17/2024,8h44m,524,0h35m,35,41,10:49,0.06679389313,12.7804878
1/18/2024,12h19m,739,0h33m,33,58,7:15,0.04465493911,12.74137931
1/19/2024,7h51m,471,0h58m,58,90,7:15,0.1231422505,5.233333333
1/20/2024,8h40m,520,0h36m,36,14,11:50,0.06923076923,37.14285714
1/21/2024,8h22m,502,1h10m,70,67,11:23,0.1394422311,7.492537313
1/22/2024,15h16m,916,0h14m,14,28,14:02,0.01528384279,32.71428571
1/23/2024,12h19m,739,2h19m,139,80,8:15,0.1880920162,9.2375
1/24/2024,11h15m,675,0h42m,42,88,11:11,0.06222222222,7.670454545
1/25/2024,14h47m,887,0h52m,52,92,6:42,0.05862457723,9.641304348
1/26/2024,12h7m,727,1h12m,72,55,7:10,0.09903713893,13.21818182
1/27/2024,11h19m,679,0h29m,29,21,11:36,0.04270986745,32.33333333